IdLab,CIF,name,phone,address,city,region
1,YRN35KBY3ZJ,Magnis Incorporated,956627332,251-6148 Fringilla Road,Ceuta,Piura
2,WZP15FGF3RG,Lobortis Quam Corp.,957333252,"452-9051 Iaculis, Ave",Malvern,Punjab
3,NOG63YBZ9YS,Nisi Dictum Augue Inc.,,Ap 307-7916 Dolor Ave,Tula,Pernambuco
4,CSJ76VXP9SP,Ac Mattis Foundation,954349623,,Joué-lès-Tours,Brussels  Gewest
5,LXN36ZUQ7TY,Dapibus Quam Consulting,953583039,236-2576 Primis St.,Guápiles,Huádong
6,EKC24UEH1PW,Orci Quis Inc.,,295-9877 Lectus. Rd.,Zielona Góra,Istanbul
7,GCT82CNK7UM,Nisi Dictum Company,953141237,"2011 Sed, St.",Okene,Caithness
8,PSF07JCC7AC,Faucibus Lectus Corporation,956702625,101-3113 Euismod Rd.,Norrköping,Rogaland
9,VTV33UVI8FO,A Ultricies Foundation,958924163,,Guaymas,Northern Territory
10,LLI76WYS0YC,Ac Facilisis Company,952776668,658-1123 Eget St.,Butte,Molise
